"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/10/2025","5.306,47","5.230,53","5.330,34","5.229,44","","1,45%"
"30/09/2025","5.230,66","5.231,62","5.264,89","5.207,68","","-0,02%"
"29/09/2025","5.231,62","5.220,42","5.280,41","5.220,42","","0,21%"
"26/09/2025","5.220,42","5.274,71","5.277,23","5.212,37","","-1,03%"
"25/09/2025","5.274,71","5.280,32","5.302,01","5.257,51","","-0,10%"
"24/09/2025","5.280,21","5.284,57","5.296,67","5.266,47","","-0,08%"
"23/09/2025","5.284,61","5.280,26","5.341,39","5.272,85","","0,07%"
"22/09/2025","5.280,65","5.290,63","5.290,83","5.249,97","","-0,20%"
"19/09/2025","5.291,01","5.284,56","5.318,54","5.266,87","","0,12%"
"18/09/2025","5.284,56","5.313,56","5.319,41","5.262,73","","-0,54%"
"17/09/2025","5.313,38","5.288,52","5.354,40","5.264,55","","0,48%"
"16/09/2025","5.288,20","5.262,32","5.303,34","5.260,95","","0,52%"
"15/09/2025","5.260,60","5.226,85","5.278,24","5.223,21","","0,65%"
"12/09/2025","5.226,67","5.298,73","5.298,73","5.226,67","","-1,36%"
"11/09/2025","5.298,73","5.246,59","5.302,43","5.229,63","","0,99%"
"10/09/2025","5.246,86","5.299,10","5.321,38","5.245,03","","-0,99%"
"09/09/2025","5.299,10","5.322,46","5.384,48","5.297,66","","-0,43%"
"08/09/2025","5.322,06","5.318,02","5.362,23","5.281,90","","0,08%"
"06/09/2025","5.317,95","5.250,39","5.317,95","5.317,95","","0,00%"
"05/09/2025","5.317,95","5.250,39","5.328,53","5.250,39","","1,28%"
"04/09/2025","5.250,92","5.205,54","5.259,93","5.195,55","","0,87%"
"03/09/2025","5.205,81","5.225,21","5.270,42","5.180,82","","-0,37%"
"02/09/2025","5.225,21","5.246,31","5.249,36","5.196,91","","-0,40%"
