"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"03/09/2025","1.950","1.980","1.995","1.935","32,75M","-0,76%"
"02/09/2025","1.965","1.995","2.040","1.955","21,22M","-1,50%"
"01/09/2025","1.995","2.000","2.020","1.850","24,70M","-1,24%"
"29/08/2025","2.020","2.020","2.060","1.985","26,92M","0,00%"
"28/08/2025","2.020","2.080","2.080","2.010","14,57M","-2,88%"
"27/08/2025","2.080","2.080","2.090","2.030","10,87M","0,00%"
"26/08/2025","2.080","2.060","2.100","2.060","7,85M","0,97%"
"25/08/2025","2.060","2.080","2.120","2.050","14,89M","-1,44%"
"22/08/2025","2.090","2.160","2.190","2.090","18,73M","-3,69%"
"21/08/2025","2.170","2.170","2.190","2.150","8,84M","-1,81%"
"20/08/2025","2.210","2.200","2.220","2.200","7,22M","0,00%"
"19/08/2025","2.210","2.180","2.240","2.180","11,30M","1,38%"
"15/08/2025","2.180","2.200","2.250","2.160","18,18M","-1,80%"
"14/08/2025","2.220","2.260","2.300","2.220","15,72M","-1,77%"
"13/08/2025","2.260","2.310","2.370","2.260","20,87M","-2,16%"
"12/08/2025","2.310","2.260","2.330","2.240","7,80M","2,21%"
"11/08/2025","2.260","2.230","2.260","2.160","5,77M","-0,44%"
"08/08/2025","2.270","2.290","2.380","2.240","7,69M","-0,87%"
"07/08/2025","2.290","2.290","2.300","2.250","7,18M","0,44%"
"06/08/2025","2.280","2.250","2.280","2.220","5,88M","3,17%"
"05/08/2025","2.210","2.240","2.250","2.200","9,03M","-0,45%"
"04/08/2025","2.220","2.290","2.290","2.220","11,41M","-3,06%"
"01/08/2025","2.290","2.250","2.310","2.220","9,88M","4,09%"
"31/07/2025","2.200","2.160","2.250","2.130","27,91M","1,85%"
"30/07/2025","2.160","2.270","2.270","2.140","23,75M","-4,85%"
"29/07/2025","2.270","2.280","2.310","2.250","11,99M","-0,44%"
"28/07/2025","2.280","2.280","2.320","2.260","9,39M","0,44%"
"25/07/2025","2.270","2.280","2.280","2.240","7,12M","-0,87%"
"24/07/2025","2.290","2.330","2.340","2.260","12,10M","-0,87%"
"23/07/2025","2.310","2.470","2.480","2.280","15,16M","-6,10%"
"22/07/2025","2.460","2.460","2.520","2.430","24,71M","0,41%"
"21/07/2025","2.450","2.360","2.470","2.360","21,93M","4,26%"
"18/07/2025","2.350","2.270","2.380","2.250","32,34M","3,98%"
"17/07/2025","2.260","2.100","2.290","2.100","28,95M","8,13%"
"16/07/2025","2.090","2.070","2.140","2.050","14,07M","2,45%"
"15/07/2025","2.040","2.060","2.070","2.030","15,40M","-0,49%"
"14/07/2025","2.050","2.110","2.120","2.030","9,07M","-2,38%"
"11/07/2025","2.100","2.110","2.120","2.090","9,71M","0,00%"
"10/07/2025","2.100","2.090","2.110","2.090","3,48M","0,48%"
"09/07/2025","2.090","2.110","2.120","2.070","8,81M","-0,95%"
"08/07/2025","2.110","2.100","2.120","2.080","7,52M","1,44%"
"07/07/2025","2.080","2.100","2.110","2.070","11,09M","-0,48%"
"04/07/2025","2.090","2.110","2.120","2.080","6,77M","-0,95%"
"03/07/2025","2.110","2.140","2.150","2.070","9,96M","-0,47%"
"02/07/2025","2.120","2.120","2.170","2.090","14,48M","0,95%"
"01/07/2025","2.100","2.130","2.150","2.100","3,31M","0,48%"
"30/06/2025","2.090","2.120","2.160","2.090","23,13M","0,00%"
"26/06/2025","2.090","2.060","2.120","2.040","27,01M","1,95%"
"25/06/2025","2.050","2.060","2.070","2.050","3,03M","-0,49%"
"24/06/2025","2.060","2.040","2.090","2.040","8,50M","1,98%"
"23/06/2025","2.020","2.090","2.090","1.900","18,39M","-3,81%"
"20/06/2025","2.100","2.090","2.120","2.080","18,81M","0,48%"
"19/06/2025","2.090","2.090","2.190","2.080","16,62M","0,00%"
"18/06/2025","2.090","2.090","2.100","2.070","9,59M","0,00%"
