"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/12/2024","5.700","5.675","5.750","5.650","96,78M","-1,72%"
"27/12/2024","5.800","5.750","5.850","5.750","46,13M","0,87%"
"24/12/2024","5.750","5.825","5.875","5.750","41,24M","-1,29%"
"23/12/2024","5.825","5.800","5.875","5.725","82,91M","2,64%"
"20/12/2024","5.675","5.675","5.750","5.625","148,57M","0,00%"
"19/12/2024","5.675","5.625","5.725","5.600","277,79M","-2,58%"
"18/12/2024","5.825","5.925","6.000","5.775","153,16M","-2,10%"
"17/12/2024","5.950","6.050","6.075","5.925","72,11M","-2,06%"
"16/12/2024","6.075","5.900","6.100","5.900","105,38M","0,83%"
"13/12/2024","6.025","6.025","6.100","5.975","135,58M","-1,63%"
"12/12/2024","6.125","6.200","6.225","6.100","96,71M","-2,78%"
"11/12/2024","6.300","6.300","6.400","6.300","62,51M","0,00%"
"10/12/2024","6.300","6.275","6.325","6.225","92,25M","-1,18%"
"09/12/2024","6.375","6.175","6.375","6.175","74,22M","2,41%"
"06/12/2024","6.225","6.200","6.275","6.125","75,99M","1,22%"
"05/12/2024","6.150","6.350","6.375","6.150","69,53M","-3,53%"
"04/12/2024","6.375","6.275","6.450","6.225","75,26M","1,59%"
"03/12/2024","6.275","6.100","6.275","6.100","99,51M","4,58%"
"02/12/2024","6.000","6.175","6.250","5.975","114,56M","-2,44%"
"29/11/2024","6.150","6.325","6.375","6.125","157,63M","-4,65%"
"28/11/2024","6.450","6.350","6.525","6.350","81,88M","0,78%"
"26/11/2024","6.400","6.600","6.600","6.325","107,19M","-2,66%"
"25/11/2024","6.575","6.325","6.600","6.325","183,45M","5,20%"
"22/11/2024","6.250","6.125","6.300","6.100","80,24M","1,63%"
"21/11/2024","6.150","6.225","6.225","6.125","76,58M","-1,20%"
"20/11/2024","6.225","6.325","6.350","6.200","68,71M","-0,40%"
"19/11/2024","6.250","6.375","6.375","6.225","95,50M","-1,19%"
"18/11/2024","6.325","6.350","6.425","6.225","80,65M","-0,39%"
"15/11/2024","6.350","6.300","6.400","6.300","41,08M","-0,39%"
"14/11/2024","6.375","6.375","6.475","6.350","69,75M","-0,78%"
"13/11/2024","6.425","6.500","6.550","6.400","102,75M","0,78%"
"12/11/2024","6.375","6.375","6.450","6.325","117,28M","0,39%"
"11/11/2024","6.350","6.300","6.450","6.150","125,61M","0,40%"
"08/11/2024","6.325","6.425","6.525","6.275","192,68M","-1,56%"
"07/11/2024","6.425","6.500","6.550","6.425","154,76M","-1,91%"
"06/11/2024","6.550","6.925","6.925","6.550","147,27M","-5,42%"
"05/11/2024","6.925","6.725","6.950","6.675","88,66M","2,59%"
"04/11/2024","6.750","6.600","6.800","6.525","80,21M","1,50%"
"01/11/2024","6.650","6.725","6.725","6.550","101,42M","-0,75%"
