"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/10/2025","795","795","795","780","977,60K","0,00%"
"30/09/2025","795","795","795","785","555,50K","0,00%"
"29/09/2025","795","795","795","790","286,70K","0,00%"
"26/09/2025","795","795","795","785","256,70K","0,00%"
"25/09/2025","795","800","800","785","777,60K","-0,63%"
"24/09/2025","800","795","800","790","933,50K","0,63%"
"23/09/2025","795","790","795","785","379,70K","0,00%"
"22/09/2025","795","795","795","785","290,30K","0,00%"
"19/09/2025","795","795","795","785","269,90K","0,00%"
"18/09/2025","795","795","800","790","298,90K","0,00%"
"17/09/2025","795","795","800","790","514,70K","0,00%"
"16/09/2025","795","800","805","785","1,58M","-0,63%"
"15/09/2025","800","820","820","800","1,55M","-1,23%"
"12/09/2025","810","820","830","805","4,41M","1,25%"
"11/09/2025","800","790","810","790","779,30K","0,63%"
"10/09/2025","795","795","800","790","116,40K","0,00%"
"09/09/2025","795","790","800","780","766,20K","0,00%"
"08/09/2025","795","800","800","795","173,10K","-0,63%"
"04/09/2025","800","800","800","795","214,30K","0,00%"
"03/09/2025","800","800","800","790","193,20K","0,00%"
"02/09/2025","800","795","800","790","310,00K","0,63%"
"01/09/2025","795","795","795","780","432,90K","-0,63%"
"29/08/2025","800","800","800","790","435,30K","0,00%"
"28/08/2025","800","800","800","790","770,70K","0,00%"
"27/08/2025","800","805","810","795","1,58M","-0,62%"
"26/08/2025","805","810","810","805","404,90K","0,00%"
"25/08/2025","805","800","810","800","613,20K","0,00%"
"22/08/2025","805","810","810","795","3,52M","-0,62%"
"21/08/2025","810","810","815","800","1,09M","0,00%"
"20/08/2025","810","810","810","805","646,40K","0,00%"
"19/08/2025","810","810","810","800","1,15M","0,00%"
"15/08/2025","810","810","810","805","173,70K","0,00%"
"14/08/2025","810","810","820","805","505,30K","0,00%"
"13/08/2025","810","810","810","800","796,80K","0,00%"
"12/08/2025","810","810","815","805","271,20K","0,00%"
"11/08/2025","810","810","810","800","540,30K","0,00%"
"08/08/2025","810","810","810","800","1,19M","0,00%"
"07/08/2025","810","810","810","800","1,29M","0,00%"
"06/08/2025","810","810","820","805","444,80K","0,00%"
"05/08/2025","810","810","825","810","1,31M","0,00%"
