"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"22/10/2025","520,48","521,15","525,20","517,76","14,53M","0,54%"
"21/10/2025","517,66","517,50","518,69","513,04","15,59M","0,17%"
"20/10/2025","516,79","514,61","518,70","513,43","14,67M","0,63%"
"17/10/2025","513,58","509,04","515,48","507,31","19,87M","0,39%"
"16/10/2025","511,61","512,58","516,85","508,13","15,56M","-0,35%"
"15/10/2025","513,43","514,96","517,19","510,00","14,69M","-0,03%"
"14/10/2025","513,57","510,23","515,28","506,00","14,68M","-0,09%"
"13/10/2025","514,05","516,41","516,41","511,68","14,28M","0,60%"
"10/10/2025","510,96","519,64","523,58","509,63","24,13M","-2,19%"
"09/10/2025","522,40","522,34","524,33","517,40","18,34M","-0,47%"
"08/10/2025","524,85","523,28","526,95","523,09","13,36M","0,17%"
"07/10/2025","523,98","528,28","529,80","521,44","14,62M","-0,87%"
"06/10/2025","528,57","518,61","531,03","518,20","21,39M","2,17%"
"03/10/2025","517,35","517,10","520,49","515,00","15,11M","0,31%"
"02/10/2025","515,74","517,64","521,60","510,68","21,22M","-0,76%"
"01/10/2025","519,71","514,80","520,51","511,69","22,63M","0,34%"
"30/09/2025","517,95","513,24","518,16","509,66","19,73M","0,65%"
"29/09/2025","514,60","511,50","516,84","508,88","17,62M","0,61%"
"26/09/2025","511,46","510,06","513,94","506,62","16,21M","0,87%"
"25/09/2025","507,03","508,30","510,01","505,04","15,79M","-0,61%"
"24/09/2025","510,15","510,38","512,48","506,92","13,53M","0,18%"
"23/09/2025","509,23","513,80","514,59","507,31","19,80M","-1,01%"
"22/09/2025","514,45","515,59","517,74","512,54","20,01M","-0,67%"
