Province,Longitude,Latitude,Month,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,T2M,WS2M
Aceh,96.91283780019845,4.227442854997954,ANN,17.22,9.4,89.76,21.56,0.36
Aceh,96.91283780019845,4.227442854997954,APR,18.18,9.04,90.58,22.27,0.38
Aceh,96.91283780019845,4.227442854997954,AUG,16.98,9.16,89.22,21.21,0.36
Aceh,96.91283780019845,4.227442854997954,DEC,15.23,13.1,91.86,21.3,0.37
Aceh,96.91283780019845,4.227442854997954,FEB,19.22,6.79,88.89,21.95,0.38
Aceh,96.91283780019845,4.227442854997954,JAN,17.2,8.08,89.77,21.57,0.37
Aceh,96.91283780019845,4.227442854997954,JUL,17.77,8.34,88.26,21.27,0.34
Aceh,96.91283780019845,4.227442854997954,JUN,17.55,8.01,88.97,21.33,0.33
Aceh,96.91283780019845,4.227442854997954,MAR,19.09,7.36,89.21,22.08,0.4
Aceh,96.91283780019845,4.227442854997954,MAY,17.29,8.86,90.22,22.21,0.35
Aceh,96.91283780019845,4.227442854997954,NOV,14.99,11.41,91.33,21.22,0.35
Aceh,96.91283780019845,4.227442854997954,OCT,16.2,13.87,90.12,21.14,0.37
Aceh,96.91283780019845,4.227442854997954,SEP,17.02,8.51,88.61,21.23,0.36
Bali,115.13132844211631,-8.368591143035239,ANN,20.07,4.84,83.69,25.43,1.35
Bali,115.13132844211631,-8.368591143035239,APR,19.66,4.44,85.48,25.9,1.21
Bali,115.13132844211631,-8.368591143035239,AUG,20.8,0.75,82.31,24.08,1.69
Bali,115.13132844211631,-8.368591143035239,DEC,19.37,9.33,83.28,26.21,1.13
Bali,115.13132844211631,-8.368591143035239,FEB,19.44,9.86,85.91,25.84,1.1
Bali,115.13132844211631,-8.368591143035239,JAN,19.07,9.72,84.98,25.88,1.24
Bali,115.13132844211631,-8.368591143035239,JUL,18.39,1.45,83.97,23.88,1.76
Bali,115.13132844211631,-8.368591143035239,JUN,17.86,2.05,85.57,24.73,1.56
Bali,115.13132844211631,-8.368591143035239,MAR,20.08,8.05,85.55,25.94,1.0
